fighter_name,weight_lbs,height_cms,stance
Adriano Martins,155.0,177.8,Southpaw
Francisco Trevino,155.0,175.26,Orthodox
Chris Cariaso,125.0,160.02,Southpaw
Takeya Mizugaki,135.0,170.18,Orthodox
Katsunori Kikuno,145.0,172.72,Orthodox
Naoyuki Kotani,155.0,172.72,Southpaw
Clay Collard,145.0,180.34,Orthodox
Joe Riggs,185.0,182.88,Southpaw
Sam Stout,155.0,175.26,Orthodox
Yves Jabouin,135.0,170.18,Orthodox
Chris Kelades,125.0,170.18,Orthodox
Jared Rosholt,265.0,187.96,Orthodox
Chris Dempsey,185.0,177.8,Orthodox
Anthony Christodoulou,155.0,175.26,Orthodox
Reginaldo Vieira,135.0,170.18,Orthodox
Rafael Feijao,205.0,185.42,Orthodox
Hugo Viana,135.0,167.64,Orthodox
Kenny Robertson,170.0,177.8,Orthodox
Daron Cruickshank,155.0,172.72,Switch
Ramsey Nijem,155.0,180.34,Orthodox
Mickael Lebout,155.0,180.34,Orthodox
Marcus Brimage,135.0,162.56,Southpaw
Frank Mir,264.0,190.5,Southpaw
Josh Thomson,155.0,177.8,Orthodox
Scott Jorgensen,135.0,165.1,Orthodox
Igor Araujo,170.0,185.42,Orthodox
Andrew Craig,170.0,185.42,Orthodox
Dan Miller,185.0,185.42,Orthodox
Darrell Montague,125.0,167.64,Southpaw
Mike Swick,170.0,185.42,Orthodox
Yosdenis Cedeno,155.0,172.72,Orthodox
Leandro Silva,155.0,175.26,Orthodox
Steve Montgomery,185.0,193.04,Southpaw
Danny Martinez,125.0,167.64,Orthodox
Dennis Siver,145.0,167.64,Orthodox
Alan Omer,145.0,177.8,Orthodox
Niklas Backstrom,145.0,185.42,Orthodox
Piotr Hallmann,155.0,175.26,Orthodox
Gilbert Melendez,145.0,175.26,Orthodox
Thiago Tavares,145.0,170.18,Orthodox
Brian Ebersole,170.0,182.88,Southpaw
Ricardo Abreu,185.0,180.34,Orthodox
KJ Noons,155.0,177.8,Orthodox
Wendell Oliveira,170.0,177.8,Orthodox
Lucas Martins,145.0,182.88,Southpaw
Luiz Dutra,170.0,180.34,Orthodox
Mark Munoz,185.0,182.88,Orthodox
Phillipe Nover,145.0,175.26,Orthodox
Mark Eddiva,145.0,172.72,Orthodox
Zhang Lipeng,155.0,180.34,Southpaw
Roldan Sangcha-an,125.0,162.56,Orthodox
Nolan Ticman,125.0,167.64,Orthodox
Hatsu Hioki,145.0,180.34,Orthodox
Dylan Andrews,185.0,185.42,Switch
Vik Grujic,170.0,180.34,Orthodox
Alptekin Ozkilic,125.0,165.1,Orthodox
Rampage Jackson,205.0,185.42,Orthodox
Eddie Gordon,185.0,182.88,Orthodox
Pawel Pawlak,170.0,182.88,Orthodox
Seth Baczynski,170.0,190.5,Orthodox
Bartosz Fabinski,170.0,182.88,Orthodox
Marcin Bandel,155.0,177.8,Orthodox
Ron Stallings,170.0,187.96,Southpaw
Leonardo Mafra,155.0,177.8,Orthodox
Jorge de Oliveira,155.0,172.72,Orthodox
Bentley Syler,125.0,162.56,Orthodox
Jake Lindsey,155.0,180.34,Switch
Roman Salazar,135.0,170.18,Orthodox
Masio Fullen,145.0,177.8,Orthodox
William Patolino,170.0,180.34,Orthodox
Ivan Jorge,155.0,175.26,Orthodox
Ian McCall,125.0,165.1,Orthodox
Richardson Moreira,185.0,187.96,Orthodox
Phil Davis,205.0,187.96,Orthodox
Akira Corassani,145.0,172.72,Orthodox
Andy Ogle,145.0,172.72,Orthodox
John Howard,170.0,170.18,Orthodox
Johnny Case,155.0,177.8,Orthodox
Matt Van Buren,205.0,195.58,Orthodox
Tateki Matsuda,125.0,170.18,Orthodox
Danny Castillo,155.0,175.26,Orthodox
Elias Silverio,155.0,180.34,Orthodox
Tom Niinimaki,145.0,175.26,Orthodox
Leandro Issa,135.0,170.18,Orthodox
Marcio Alexandre Junior,185.0,182.88,Southpaw
Jamie Varner,155.0,172.72,Orthodox
Joe Ellenberger,155.0,175.26,Orthodox
David Michaud,155.0,175.26,Orthodox
Todd Duffee,260.0,190.5,Orthodox
Matt Wiman,155.0,177.8,Orthodox
Ruslan Magomedov,242.0,190.5,Orthodox
Luke Barnatt,185.0,198.12,Orthodox
Yves Edwards,155.0,175.26,Southpaw
Juan Puig,145.0,175.26,Orthodox
Edgar Garcia,170.0,177.8,Orthodox
Caio Magalhaes,185.0,185.42,Orthodox
Wagner Silva,170.0,182.88,Orthodox
Soa Palelei,265.0,193.04,Orthodox
Luke Zachrich,185.0,187.96,Orthodox
Jumabieke Tuerxun,135.0,170.18,Orthodox
Fabricio Camoes,155.0,177.8,Orthodox
Tor Troeng,185.0,187.96,Orthodox
Manvel Gamburyan,135.0,165.1,Orthodox
Michinori Tanaka,135.0,165.1,Orthodox
Kazuki Tokudome,155.0,180.34,Southpaw
Paulo Thiago,170.0,180.34,Orthodox
Matt Mitrione,265.0,190.5,Switch
Sean Soriano,145.0,175.26,Orthodox
Ruan Potts,247.0,187.96,Orthodox
Francis Carmont,205.0,190.5,Orthodox
Aaron Phillips,135.0,175.26,Southpaw
Sai Wang,170.0,182.88,Southpaw
Roland Delorme,135.0,175.26,Orthodox
An Ying Wang,170.0,182.88,Orthodox
Tom Watson,185.0,185.42,Orthodox
Kyle Kingsbury,205.0,193.04,Orthodox
Hernani Perpetuo,170.0,182.88,Orthodox
Mike de la Torre,145.0,180.34,Orthodox
Akbarh Arreola,155.0,177.8,Southpaw
Andreas Stahl,170.0,180.34,Orthodox
Steven Siler,145.0,180.34,Orthodox
Cody Donovan,205.0,190.5,Orthodox
Justin Salas,155.0,172.72,Southpaw
Jesse Ronson,155.0,177.8,Southpaw
Patrick Walsh,185.0,180.34,Orthodox
Sarah Moras,135.0,170.18,Orthodox
Robert Drysdale,205.0,190.5,Orthodox
George Roop,135.0,185.42,Orthodox
Clint Hester,205.0,187.96,Orthodox
Colton Smith,155.0,182.88,Orthodox
Johnny Bedford,135.0,177.8,Orthodox
Marcelo Guimaraes,185.0,182.88,Orthodox
Chris Indich,170.0,177.8,Orthodox
Yaotzin Meza,145.0,175.26,Orthodox
Bobby Voelker,170.0,182.88,Orthodox
Rodrigo Damm,155.0,170.18,Orthodox
Vaughan Lee,125.0,167.64,Orthodox
Chris Holdsworth,135.0,180.34,Orthodox
Anthony Njokuani,155.0,185.42,Orthodox
Costas Philippou,185.0,180.34,Orthodox
Anthony Lapsley,170.0,175.26,Southpaw
Estevan Payan,145.0,177.8,Orthodox
Ryan Jimmo,205.0,185.42,Orthodox
Mark Bocek,155.0,172.72,Orthodox
Minotauro Nogueira,240.0,190.5,Orthodox
Ronny Markes,185.0,185.42,Orthodox
Thiago Perpetuo,170.0,177.8,Orthodox
Jake Shields,170.0,182.88,Orthodox
Sean Spencer,170.0,177.8,Orthodox
Renee Forte,155.0,170.18,Orthodox
Will Campuzano,125.0,175.26,Orthodox
Bubba McDaniel,185.0,190.5,Southpaw
Daniel Pineda,145.0,170.18,Orthodox
Cyrille Diabate,205.0,198.12,Southpaw
Phil Harris,125.0,162.56,Orthodox
Nam Phan,135.0,167.64,Orthodox
Albert Cheng,170.0,180.34,Orthodox
Cody Gibson,135.0,177.8,Orthodox
Rafaello Oliveira,155.0,172.72,Orthodox
Ernest Chavez,145.0,172.72,Orthodox
Cristiano Marcello,155.0,175.26,Orthodox
Ildemar Alcantara,185.0,187.96,Orthodox
Nick Catone,185.0,182.88,Southpaw
Chico Camus,125.0,167.64,Orthodox
Junior Hernandez,135.0,175.26,Orthodox
Isaac Vallie-Flagg,155.0,172.72,Orthodox
Charlie Brenneman,155.0,177.8,Orthodox
Royston Wee,135.0,170.18,Orthodox
Dustin Kimura,135.0,170.18,Orthodox
Chris Leben,185.0,180.34,Southpaw
Robert Peralta,145.0,172.72,Orthodox
Darren Uyenoyama,125.0,167.64,Orthodox
Pat Barry,235.0,180.34,Orthodox
Nick Ring,185.0,182.88,Southpaw
Bruno Santos,185.0,175.26,Orthodox
Ben Wall,155.0,177.8,Orthodox
Joshua Sampo,125.0,162.56,Orthodox
Georges St-Pierre,185.0,180.34,Orthodox
Josh Koscheck,170.0,177.8,Orthodox
Jason High,155.0,172.72,Southpaw
Jose Maria,125.0,165.1,Orthodox
Alessio Sakara,185.0,182.88,Orthodox
Jimy Hettes,145.0,175.26,Southpaw
George Sotiropoulos,155.0,177.8,Orthodox
TJ Waldburger,170.0,180.34,Orthodox
Jeremy Larsen,145.0,177.8,Orthodox
Dustin Pague,135.0,175.26,Orthodox
Thiago Silva,205.0,187.96,Orthodox
Rousimar Palhares,170.0,172.72,Orthodox
Iliarde Santos,125.0,165.1,Orthodox
Brendan Schaub,245.0,193.04,Orthodox
Pat Healy,155.0,182.88,Orthodox
Mike Ricci,155.0,182.88,Southpaw
Ivan Menjivar,145.0,167.64,Orthodox
Chris Clements,170.0,177.8,Orthodox
Nandor Guelmino,230.0,190.5,Orthodox
Marcos Vinicius,125.0,175.26,Orthodox
Joao Zeferino,170.0,180.34,Orthodox
Keith Wisniewski,170.0,182.88,Orthodox
Yuri Villefort,170.0,182.88,Orthodox
Louis Gaudinot,125.0,160.02,Orthodox
Pascal Krauss,170.0,185.42,Orthodox
Ryan Couture,155.0,177.8,Orthodox
Jared Hamman,185.0,190.5,Orthodox
Justin Edwards,155.0,177.8,Orthodox
James Head,170.0,185.42,Orthodox
Roger Bowling,155.0,175.26,Orthodox
Mike Brown,145.0,167.64,Orthodox
Vinny Magalhaes,205.0,190.5,Orthodox
Ednaldo Oliveira,205.0,195.58,Orthodox
Mac Danzig,155.0,172.72,Orthodox
Aaron Riley,155.0,172.72,Southpaw
John Albert,135.0,172.72,Orthodox
Mike Pierce,170.0,172.72,Orthodox
Sean Pierson,170.0,182.88,Southpaw
Brian Bowles,135.0,170.18,Orthodox
Leonard Garcia,145.0,177.8,Orthodox
Clifford Starks,185.0,182.88,Orthodox
Bristol Marunde,170.0,185.42,Orthodox
Justin Lawrence,145.0,172.72,Orthodox
Chris Spang,170.0,187.96,Orthodox
Benny Alloway,170.0,180.34,Orthodox
Michael Kuiper,185.0,182.88,Orthodox
Papy Abedi,185.0,180.34,Southpaw
Antonio Carvalho,145.0,175.26,Orthodox
Wanderlei Silva,205.0,180.34,Orthodox
Riki Fukuda,185.0,182.88,Southpaw
Jon Manley,170.0,185.42,Orthodox
Nah-Shon Burrell,170.0,180.34,Orthodox
Che Mills,170.0,185.42,Orthodox
Terry Etim,155.0,185.42,Orthodox
Paul Sass,155.0,182.88,Orthodox
Jon Fitch,170.0,182.88,Orthodox
Jacob Volkmann,155.0,175.26,Southpaw
Edwin Figueroa,135.0,170.18,Orthodox
TJ Grant,155.0,177.8,Orthodox
Mike Stumpf,170.0,177.8,Orthodox
Mike Russow,255.0,185.42,Orthodox
Simeon Thoresen,170.0,185.42,Orthodox
Diego Nunes,145.0,167.64,Orthodox
Wagner Prado,205.0,182.88,Southpaw
Melvin Guillard,155.0,175.26,Orthodox
Philip De Fries,250.0,195.58,Orthodox
Reuben Duran,135.0,170.18,Orthodox
Mike Rio,155.0,177.8,Orthodox
Jared Papazian,135.0,172.72,Southpaw
Colin Fletcher,155.0,187.96,Orthodox
Brendan Loughnane,145.0,177.8,Switch
Nick Penner,205.0,193.04,Southpaw
Marcus LeVesseur,155.0,175.26,Southpaw
Mark Hominick,145.0,172.72,Orthodox
Matthew Riddle,170.0,185.42,Southpaw
Rich Franklin,185.0,185.42,Southpaw
Tiequan Zhang,155.0,172.72,Orthodox
Yasuhiro Urushitani,125.0,165.1,Southpaw
Luiz Cane,185.0,187.96,Southpaw
Josh Neer,170.0,180.34,Orthodox
Aaron Simpson,170.0,182.88,Orthodox
Bart Palaszewski,145.0,175.26,Orthodox
Dan Hardy,170.0,182.88,Orthodox
John Hathaway,170.0,185.42,Orthodox
DaMarques Johnson,170.0,185.42,Orthodox
Jason Young,145.0,175.26,Orthodox
Matt Hamill,205.0,185.42,Orthodox
Ken Stone,135.0,172.72,Orthodox
Josh Grispi,145.0,180.34,Orthodox
Cheick Kongo,240.0,193.04,Orthodox
Karlos Vemola,185.0,182.88,Orthodox
Damacio Page,135.0,167.64,Orthodox
Forrest Griffin,205.0,190.5,Orthodox
Cung Le,185.0,175.26,Southpaw
John Alessio,155.0,177.8,Orthodox
Anistavio Medeiros,145.0,167.64,Orthodox
Delson Heleno,185.0,180.34,Orthodox
John Teixeira,145.0,170.18,Orthodox
Buddy Roberts,185.0,187.96,Orthodox
Henry Martinez,155.0,170.18,Southpaw
Jake Hecht,170.0,182.88,Orthodox
Jonathan Brookins,145.0,182.88,Southpaw
Jason Miller,185.0,185.42,Orthodox
Amir Sadollah,170.0,177.8,Orthodox
Jason MacDonald,185.0,190.5,Orthodox
Cody McKenzie,155.0,182.88,Switch
Jeff Curran,135.0,167.64,Orthodox
Alex Soto,135.0,172.72,Southpaw
Mike Massenzio,185.0,187.96,Southpaw
Miguel Torres,135.0,175.26,Orthodox
Brian Stann,205.0,185.42,Orthodox
Mackens Semerzier,145.0,175.26,Orthodox
Oli Thompson,242.0,185.42,Orthodox
Norifumi Yamamoto,135.0,162.56,Southpaw
Anton Kuivanen,155.0,172.72,Orthodox
Nick Diaz,185.0,185.42,Southpaw
Dan Stittgen,170.0,185.42,Orthodox
Chael Sonnen,205.0,185.42,Southpaw
Joey Beltran,185.0,185.42,Orthodox
Duane Ludwig,170.0,177.8,Orthodox
Mike Easton,135.0,167.64,Southpaw
Jorge Rivera,185.0,185.42,Orthodox
Kamal Shalorus,155.0,172.72,Orthodox
Joseph Sandoval,135.0,170.18,Southpaw
Ricardo Funch,170.0,177.8,Southpaw
Vladimir Matyushenko,205.0,182.88,Orthodox
Tito Ortiz,205.0,190.5,Orthodox
Claude Patrick,170.0,180.34,Orthodox
Krzysztof Soszynski,205.0,185.42,Open Stance
Walel Watson,135.0,180.34,Orthodox
Rich Attonito,170.0,177.8,Orthodox
Stephan Bonnar,205.0,193.04,Orthodox
Tom Lawlor,205.0,182.88,Southpaw
Aaron Rosa,205.0,193.04,Orthodox
John Maguire,155.0,175.26,Southpaw
Rob Broughton,265.0,187.96,Orthodox
Michihiro Omigawa,145.0,167.64,Orthodox
Chris Cope,170.0,182.88,Orthodox
Mirko Cro Cop,230.0,187.96,Southpaw
Tyson Griffin,145.0,167.64,Orthodox
Brandon Vera,230.0,190.5,Orthodox
Dustin Jacoby,185.0,193.04,Orthodox
Steve Cantwell,185.0,187.96,Orthodox
Shane Roller,155.0,177.8,Orthodox
Matt Hughes,170.0,175.26,Switch
Junior Assuncao,145.0,175.26,Orthodox
Alan Belcher,185.0,187.96,Orthodox
Clay Harvison,170.0,185.42,Orthodox
Dennis Hallman,155.0,175.26,Orthodox
Jeff Hougland,135.0,170.18,Orthodox
Christian Morecraft,260.0,198.12,Orthodox
Joe Stevenson,145.0,170.18,Orthodox
Daniel Roberts,170.0,177.8,Southpaw
Shane Carwin,265.0,187.96,Orthodox
Kenny Florian,145.0,177.8,Southpaw
Dave Herman,242.0,193.04,Orthodox
Vagner Rocha,155.0,177.8,Orthodox
Jesse Bongfeldt,185.0,182.88,Orthodox
Chuck O'Neil,170.0,187.96,Orthodox
Danny Downes,155.0,182.88,Orthodox
Ryan McGillivray,170.0,180.34,Orthodox
Kendall Grove,185.0,198.12,Orthodox
Cole Escovedo,135.0,170.18,Orthodox
Jon Madsen,240.0,182.88,Orthodox
Sean McCorkle,265.0,200.66,Orthodox
Mario Miranda,185.0,190.5,Orthodox
Waylon Lowe,145.0,170.18,Southpaw
Ricardo Almeida,170.0,182.88,Orthodox
Kurt Pellegrino,155.0,172.72,Orthodox
Rob Kimmons,185.0,177.8,Orthodox
Tom Blackledge,205.0,187.13,Orthodox
Maciej Jewtuszko,155.0,182.88,Southpaw
Paul Taylor,155.0,182.88,Orthodox
Phil Baroni,170.0,175.26,Orthodox
Joe Doerksen,185.0,182.88,Orthodox
Pat Audinwood,155.0,182.88,Orthodox
Ian Loveland,145.0,172.72,Orthodox
Sako Chivitchian,155.0,180.34,Orthodox
Fredson Paixao,145.0,167.64,Orthodox
Gerald Harris,185.0,180.34,Southpaw
Karo Parisyan,170.0,177.8,Orthodox
Mike Lullo,145.0,172.72,Orthodox
Paul Kelly,155.0,175.26,Orthodox
Seth Petruzelli,205.0,182.88,Orthodox
Kris McCray,170.0,182.88,Orthodox
Mike Guymon,170.0,182.88,Orthodox
James Wilks,170.0,185.42,Orthodox
Spencer Fisher,155.0,170.18,Southpaw
James McSweeney,230.0,193.04,Switch
Matt Serra,170.0,167.64,Orthodox
Sean Sherk,155.0,167.64,Orthodox
Steve Lopez,155.0,180.34,Orthodox
Tomasz Drwal,205.0,185.42,Orthodox
Brian Foster,170.0,175.26,Orthodox
Randy Couture,205.0,185.42,Orthodox
Andre Winner,155.0,180.34,Orthodox
Nick Osipczak,170.0,187.96,Orthodox
Dustin Hazelett,170.0,185.42,Orthodox
Rodney Wallace,205.0,175.26,Switch
Todd Brown,205.0,180.34,Orthodox
James Irvin,205.0,187.96,Orthodox
Chris Lytle,170.0,180.34,Orthodox
Forrest Petz,170.0,175.26,Orthodox
Keith Jardine,185.0,187.96,Orthodox
Jamie Yager,185.0,185.42,Orthodox
John Gunderson,155.0,175.26,Orthodox
Josh Bryant,185.0,177.8,Orthodox
Chuck Liddell,205.0,187.96,Orthodox
David Loiseau,185.0,182.88,Orthodox
Jason Brilz,205.0,180.34,Orthodox
Jesse Forbes,185.0,187.96,Southpaw
Kevin Ferguson,235.0,187.96,Orthodox
Marcus Davis,170.0,177.8,Southpaw
Yoshiyuki Yoshida,170.0,180.34,Southpaw
Nate Quarry,185.0,182.88,Open Stance
Rob Emerson,155.0,175.26,Orthodox
Caol Uno,155.0,170.18,Southpaw
Eliot Marshall,205.0,187.96,Orthodox
Eric Schafer,185.0,190.5,Orthodox
Chris Tuchscherer,258.0,187.96,Orthodox
Paul Daley,170.0,175.26,Orthodox
Martin Kampmann,170.0,182.88,Orthodox
Ryan Jensen,185.0,185.42,Orthodox
Jake Rosholt,185.0,185.42,Orthodox
Jesse Lennox,170.0,175.26,Orthodox
Mark Coleman,205.0,185.42,Orthodox
Shannon Gugerty,155.0,177.8,Orthodox
Brad Blackburn,170.0,177.8,Orthodox
Jason Dent,155.0,177.8,Orthodox
Drew McFedries,185.0,182.88,Southpaw
Brock Larson,170.0,180.34,Southpaw
Tim Hague,260.0,193.04,Orthodox
Kyle Bradley,155.0,175.26,Orthodox
Denis Kang,185.0,180.34,Orthodox
Tim Credeur,185.0,190.5,Orthodox
Shane Nelson,155.0,175.26,Southpaw
Mike Ciesnolevicz,235.0,182.88,Orthodox
Matt Veach,155.0,180.34,Orthodox
Jake O'Brien,205.0,190.5,Orthodox
Dan Cramer,170.0,187.96,Orthodox
Antoni Hardonk,245.0,193.04,Orthodox
Wilson Gouveia,185.0,185.42,Orthodox
Junie Browning,155.0,175.26,Orthodox
Rolando Delgado,155.0,190.5,Orthodox
Luigi Fioravanti,170.0,172.72,Orthodox
Steve Bruno,170.0,177.8,Orthodox
Dale Hartt,155.0,177.8,Orthodox
Justin McCully,225.0,185.42,Orthodox
Hermes Franca,155.0,167.64,Orthodox
Pete Sell,170.0,180.34,Orthodox
David Bielkheden,155.0,177.8,Orthodox
Per Eklund,155.0,177.8,Orthodox
Ryo Chonan,170.0,175.26,Orthodox
Chris Wilson,170.0,185.42,Orthodox
Kevin Burns,170.0,177.8,Orthodox
Rory Markham,170.0,182.88,Orthodox
Nate Loughran,185.0,187.96,Orthodox
Justin Buchholz,155.0,182.88,Orthodox
Dean Lister,185.0,185.42,Orthodox
Goran Reljic,205.0,190.5,Southpaw
Rameau Thierry Sokoudjou,205.0,177.8,Orthodox
Rich Clementi,155.0,175.26,Southpaw
Jason Day,185.0,182.88,Orthodox
Jonathan Goulet,170.0,182.88,Orthodox
Marcus Aurelio,155.0,177.8,Orthodox
Heath Herring,250.0,193.04,Orthodox
Jorge Gurgel,155.0,170.18,Orthodox
Marvin Eastman,185.0,175.26,Orthodox
Corey Hill,155.0,193.04,Orthodox
Eddie Sanchez,230.0,187.96,Orthodox
Roger Huerta,155.0,175.26,Orthodox
Jon Koppenhaver,170.0,180.34,Orthodox
Troy Mandaloniz,170.0,175.26,Orthodox
Matt Arroyo,170.0,177.8,Orthodox
Roman Mitichyan,170.0,177.8,Orthodox
Akihiro Gono,170.0,170.18,Switch
Tim Sylvia,265.0,203.2,Orthodox
Alvin Robinson,155.0,175.26,Southpaw
Matt Grice,145.0,172.72,Orthodox
Christian Wellisch,234.0,187.96,Orthodox
Luke Cummo,170.0,182.88,Orthodox
Houston Alexander,205.0,182.88,Orthodox
Jess Liaudin,170.0,175.26,Orthodox
Renato Sobral,205.0,185.42,Orthodox
Nate Mohr,155.0,175.26,Orthodox
Terry Martin,185.0,172.72,Orthodox
Kalib Starnes,185.0,190.5,Orthodox
Din Thomas,155.0,175.26,Orthodox
Drew Fickett,155.0,177.8,Orthodox
Kuniyoshi Hironaka,168.0,177.8,Orthodox
Jason Lambert,185.0,190.5,Orthodox
David Heath,205.0,180.34,Orthodox
Logan Clark,185.0,187.96,Orthodox
Travis Lutter,185.0,180.34,Orthodox
Pete Spratt,170.0,175.26,Orthodox
Scott Smith,185.0,182.88,Orthodox
Charles McCarthy,185.0,177.8,Orthodox
Carmelo Marrero,205.0,182.88,Orthodox
Tony DeSouza,170.0,182.88,Southpaw
Rory Singer,185.0,187.96,Orthodox
Anthony Torres,170.0,172.72,Orthodox
Jeff Monson,247.0,175.26,Orthodox
Rob MacDonald,205.0,190.5,Orthodox
Jorge Santiago,170.0,185.42,Orthodox
Mike Nickels,205.0,193.04,Orthodox
Jeremy Horn,185.0,185.42,Orthodox
Evan Tanner,185.0,182.88,Orthodox
David Terrell,185.0,185.42,Southpaw
Dan Christison,265.0,203.2,Orthodox
Tom Murphy,227.0,187.96,Southpaw
Marcio Cruz,232.0,193.04,Orthodox
Paul Buentello,245.0,187.96,Orthodox
Jason Von Flue,170.0,182.88,Orthodox
Sam Hoger,205.0,187.96,Orthodox
Nick Thompson,170.0,185.42,Orthodox
Branden Lee Hinkle,235.0,190.5,Orthodox
Matt Lindland,185.0,182.88,Southpaw
Trevor Prangley,185.0,185.42,Orthodox
Ivan Salaverry,185.0,182.88,Orthodox
Mike van Arsdale,205.0,187.96,Switch
Alex Karalexis,155.0,172.72,Orthodox
Mike Kyle,205.0,193.04,Orthodox
Frank Trigg,170.0,175.26,Southpaw
Justin Eilers,235.0,185.42,Orthodox
Ken Shamrock,205.0,185.42,Orthodox
Jonathan Wiezorek,250.0,190.5,Southpaw
Genki Sudo,155.0,175.26,Orthodox
Renato Verissimo,170.0,185.42,Orthodox
Lee Murray,185.0,190.5,Orthodox
Wesley Correira,260.0,190.5,Orthodox
Pedro Rizzo,241.0,185.42,Orthodox
Keith Rockel,185.0,182.88,Orthodox
Kimo Leopoldo,235.0,190.5,Orthodox
Vernon White,205.0,182.88,Southpaw
Falaniko Vitale,185.0,177.8,Orthodox
Dave Strasser,170.0,177.8,Orthodox
Gan McGee,265.0,208.28,Orthodox
Carlos Newton,170.0,175.26,Orthodox
Phillip Miller,185.0,180.34,Orthodox
Ricco Rodriguez,265.0,193.04,Orthodox
Ian Freeman,225.0,180.34,Orthodox
Mark Weir,185.0,187.96,Southpaw
Benji Radach,185.0,177.8,Orthodox
Tony Fryklund,185.0,182.88,Orthodox
Murilo Bustamante,183.0,187.96,Orthodox
Jens Pulver,145.0,170.18,Southpaw
Andrei Semenov,185.0,182.88,Orthodox
Kevin Randleman,205.0,177.8,Orthodox
Gil Castillo,170.0,175.26,Southpaw
Eugene Jackson,185.0,172.72,Orthodox
Dave Menne,170.0,177.8,Orthodox
Jutaro Nakao,170.0,175.26,Southpaw
Pat Miletich,170.0,177.8,Orthodox
Shonie Carter,170.0,177.8,Southpaw
Semmy Schilt,265.0,208.28,Orthodox
Fabiano Iha,155.0,172.72,Orthodox
Elvis Sinosic,205.0,190.5,Orthodox
Bobby Hoffman,245.0,187.96,Orthodox
Mark Hughes,205.0,175.26,Southpaw
Ben Earwood,170.0,172.72,Orthodox
Maurice Smith,221.0,187.96,Orthodox
Yuki Kondo,183.0,180.34,Southpaw
Brad Gumm,170.0,180.34,Orthodox
Tyrone Roberts,185.0,175.26,Orthodox
Amaury Bitetti,185.0,175.26,Orthodox
Sanae Kikuta,200.0,175.26,Orthodox
Ron Waterman,280.0,187.96,Orthodox
Ikuhisa Minowa,181.0,175.26,Orthodox
Laverne Clark,170.0,180.34,Orthodox
Tedd Williams,275.0,185.42,Orthodox
Lance Gibson,185.0,175.26,Orthodox
Bob Cook,170.0,175.26,Orthodox
Scott Adams,225.0,182.88,Southpaw
Kenichi Yamamoto,170.0,182.88,Orthodox
Joe Slick,199.0,182.88,Orthodox
Katsuhisa Fujii,205.0,182.88,Orthodox
Frank Shamrock,185.0,177.8,Orthodox
Tim Lajcik,225.0,185.42,Orthodox
Brad Kohler,220.0,175.26,Orthodox
John Lewis,155.0,182.88,Southpaw
Paul Jones,199.0,175.26,Orthodox
Tsuyoshi Kohsaka,225.0,180.34,Orthodox
Andre Roberts,345.0,187.96,Orthodox
Bas Rutten,205.0,185.42,Orthodox
Pete Williams,235.0,190.5,Orthodox
Marcelo Mello,170.0,170.18,Southpaw
Gary Goodridge,249.0,190.5,Orthodox
Sione Latu,215.0,182.88,Orthodox
Mikey Burnett,170.0,167.64,Orthodox
Ebenezer Fontes Braga,199.0,182.88,Orthodox
David Abbott,265.0,182.88,Switch
Jerry Bohlander,199.0,180.34,Orthodox
Kazushi Sakuraba,185.0,182.88,Southpaw
Tra Telligman,233.0,187.96,Orthodox
Mark Kerr,266.0,190.5,Switch
Dave Beneteau,250.0,187.96,Orthodox
Dwayne Cason,212.0,177.8,Orthodox
Alex Hunter,226.0,175.26,Orthodox
Kevin Jackson,199.0,177.8,Switch
Dan Bobish,345.0,187.96,Southpaw
Joe Moreira,195.0,180.34,Southpaw
Guy Mezger,200.0,185.42,Orthodox
Steven Graham,290.0,185.42,Orthodox
Enson Inoue,210.0,177.8,Orthodox
Jack Nilson,155.0,176.48,Orthodox
Scott Ferrozzo,323.0,180.34,Orthodox
Yoshiki Takahashi,199.0,180.34,Southpaw
Don Frye,219.0,185.42,Orthodox
Brian Johnston,230.0,190.5,Orthodox
Geza Kalman,200.0,185.42,Orthodox
Dan Severn,250.0,187.96,Southpaw
Mark Hall,190.0,182.88,Orthodox
Mark Schultz,200.0,175.26,Orthodox
Rafael Carino,245.0,203.2,Orthodox
Cal Worsham,230.0,180.34,Orthodox
Steve Nelmark,240.0,182.88,Orthodox
Paul Varelans,300.0,203.2,Orthodox
Oleg Taktarov,210.0,182.88,Orthodox
Marco Ruas,210.0,185.42,Orthodox
Remco Pardoel,260.0,190.5,Southpaw
Scott Bessac,245.0,193.04,Orthodox
Patrick Smith,225.0,187.96,Orthodox
Todd Medina,193.0,177.8,Southpaw
Jon Hess,295.0,200.66,Orthodox
Royce Gracie,175.0,185.42,Southpaw
Steve Jennum,215.0,177.8,Orthodox
Keith Hackney,200.0,180.34,Sideways
Harold Howard,240.0,187.96,Orthodox
Johnny Rhodes,210.0,182.88,Orthodox
Jason DeLucia,190.0,180.34,Southpaw
Orlando Wiet,170.0,177.8,Southpaw
Frank Hamaker,224.0,186.42,Orthodox
Scott Morris,210.0,177.8,Orthodox
Gerard Gordeau,216.0,195.58,Orthodox
Kevin Rosier,275.0,193.04,Orthodox
Valentina Shevchenko,125.0,165.1,Southpaw
Tatiana Suarez,115.0,165.1,Orthodox
Karolina Kowalkiewicz,115.0,160.02,Orthodox
Yan Xiaonan,115.0,165.1,Orthodox
Katlyn Chookagian,125.0,175.26,Orthodox
Tonya Evinger,135.0,170.18,Orthodox
