fighter_name,weight_lbs,height_cms,stance
Damir Ismagulov,155.0,177.8,Orthodox
Francis Ngannou,250.0,193.04,Orthodox
James Vick,155.0,190.5,Orthodox
Alex Caceres,145.0,177.8,Southpaw
Andre Fili,145.0,180.34,Orthodox
Benito Lopez,135.0,177.8,Switch
Scott Holtzman,155.0,175.26,Orthodox
Renan Barao,135.0,167.64,Orthodox
Israel Adesanya,185.0,193.04,Switch
Lando Vannata,155.0,175.26,Orthodox
Rani Yahya,135.0,167.64,Orthodox
Jimmy Crute,205.0,187.96,Orthodox
Devonte Smith,155.0,175.26,Orthodox
Shane Young,145.0,172.72,Orthodox
Kai Kara-France,125.0,165.1,Orthodox
Teruto Ishihara,135.0,170.18,Southpaw
Callan Potter,155.0,182.88,Orthodox
Wuliji Buren,135.0,175.26,Orthodox
Raphael Assuncao,135.0,165.1,Orthodox
Demian Maia,170.0,185.42,Southpaw
Johnny Walker,205.0,195.58,Orthodox
Markus Perez,185.0,185.42,Orthodox
Junior Albini,264.0,190.5,Orthodox
Geraldo de Freitas,135.0,175.26,Orthodox
Ricardo Ramos,135.0,175.26,Orthodox
Magomed Bibulatov,125.0,165.1,Orthodox
Gregor Gillespie,155.0,170.18,Orthodox
Joseph Benavidez,125.0,162.56,Southpaw
Alexander Hernandez,155.0,175.26,Orthodox
Alonzo Menifield,205.0,182.88,Orthodox
Cory Sandhagen,135.0,180.34,Switch
Dennis Bermudez,155.0,167.64,Orthodox
Belal Muhammad,170.0,180.34,Orthodox
Kyle Stewart,170.0,187.96,Orthodox
Carlos Condit,170.0,187.96,Orthodox
Ilir Latifi,205.0,177.8,Orthodox
Chad Mendes,145.0,167.64,Orthodox
Douglas Silva de Andrade,135.0,170.18,Orthodox
Uriah Hall,185.0,182.88,Orthodox
Brian Kelleher,135.0,167.64,Switch
Kevin Lee,170.0,175.26,Orthodox
Rob Font,135.0,172.72,Orthodox
Zak Ottow,170.0,180.34,Orthodox
Bobby Green,155.0,177.8,Orthodox
Jared Gordon,155.0,175.26,Orthodox
Gerald Meerschaert,185.0,185.42,Southpaw
Trevor Smith,185.0,190.5,Orthodox
Dan Ige,145.0,170.18,Orthodox
Adam Milstead,205.0,190.5,Orthodox
Chris de la Rocha,250.0,190.5,Orthodox
Hakeem Dawodu,145.0,172.72,Orthodox
Olivier Aubin-Mercier,155.0,175.26,Southpaw
Elias Theodorou,185.0,185.42,Orthodox
Chad Laprise,170.0,177.8,Orthodox
Diego Ferreira,155.0,175.26,Orthodox
Devin Clark,205.0,182.88,Orthodox
Junior Dos Santos,238.0,193.04,Orthodox
Mauricio Rua,205.0,185.42,Orthodox
Mark Hunt,265.0,177.8,Orthodox
Jake Matthews,170.0,180.34,Orthodox
Suman Mokhtarian,145.0,177.8,Orthodox
Yushin Okami,170.0,187.96,Southpaw
Keita Nakamura,170.0,180.34,Southpaw
Elias Garcia,125.0,165.1,Southpaw
Mizuto Hirota,155.0,170.18,Orthodox
Alex Gorgees,155.0,187.96,Switch
Juan Espino,250.0,193.04,Orthodox
Pedro Munhoz,135.0,167.64,Orthodox
Darren Stewart,185.0,182.88,Orthodox
Rick Glenn,145.0,182.88,Southpaw
Song Yadong,135.0,172.72,Orthodox
Li Jingliang,170.0,182.88,Orthodox
Song Kenan,170.0,182.88,Orthodox
Hu Yaozong,205.0,190.5,Orthodox
Liu Pingyuan,135.0,167.64,Orthodox
Su Mudaerji,135.0,172.72,Southpaw
Neil Magny,170.0,190.5,Orthodox
Khalil Rountree Jr.,205.0,185.42,Southpaw
Cezar Ferreira,185.0,185.42,Southpaw
Guido Cannetti,135.0,167.64,Southpaw
Alexandre Pantoja,125.0,165.1,Orthodox
Humberto Bandenay,145.0,180.34,Southpaw
Laureano Staropoli,170.0,185.42,Orthodox
Devin Powell,155.0,182.88,Orthodox
Nad Narimani,145.0,172.72,Orthodox
Chan Sung Jung,145.0,170.18,Orthodox
Donald Cerrone,155.0,185.42,Orthodox
Chas Skelly,145.0,180.34,Orthodox
Joseph Morales,125.0,167.64,Switch
Mark De La Rosa,135.0,167.64,Orthodox
Daniel Cormier,235.0,180.34,Orthodox
Chris Weidman,185.0,187.96,Orthodox
Karl Roberson,205.0,185.42,Southpaw
Jason Knight,145.0,177.8,Orthodox
Lyman Good,170.0,182.88,Orthodox
Matt Frevola,155.0,175.26,Orthodox
Shane Burgos,145.0,180.34,Orthodox
Adam Wieczorek,250.0,195.58,Orthodox
Michael Johnson,145.0,177.8,Southpaw
Andre Soukhamthath,135.0,175.26,Orthodox
Alex Garcia,170.0,175.26,Orthodox
Thibault Gouti,155.0,177.8,Orthodox
Calvin Kattar,145.0,180.34,Orthodox
Te Edwards,155.0,172.72,Orthodox
Khabib Nurmagomedov,155.0,177.8,Orthodox
Sergio Pettis,135.0,167.64,Orthodox
Gray Maynard,155.0,175.26,Orthodox
Ryan LaFlare,170.0,185.42,Southpaw
Thiago Santos,205.0,187.96,Orthodox
Sam Alvey,205.0,187.96,Southpaw
Francisco Trinaldo,155.0,175.26,Southpaw
Luis Henrique,243.0,187.96,Orthodox
Augusto Sakai,265.0,190.5,Orthodox
Sergio Moraes,170.0,182.88,Orthodox
Thales Leites,185.0,185.42,Orthodox
Aleksei Kunchenko,170.0,172.72,Orthodox
Khalid Murtazaliev,185.0,182.88,Orthodox
Petr Yan,135.0,170.18,Switch
Mairbek Taisumov,155.0,175.26,Orthodox
Adam Yandiev,185.0,175.26,Orthodox
Ramazan Emeev,170.0,177.8,Southpaw
Merab Dvalishvili,135.0,167.64,Orthodox
Zabit Magomedsharipov,145.0,185.42,Orthodox
Abdul Razak Alhassan,170.0,177.8,Orthodox
Geoff Neal,170.0,180.34,Southpaw
Charles Byrd,185.0,177.8,Orthodox
Roberto Sanchez,125.0,167.64,Orthodox
Justin Gaethje,155.0,180.34,Orthodox
Jake Ellenberger,170.0,175.26,Orthodox
John Moraga,125.0,167.64,Orthodox
James Krause,170.0,187.96,Orthodox
Andrew Sanchez,185.0,185.42,Orthodox
Mickey Gall,170.0,187.96,Switch
Drew Dober,155.0,172.72,Southpaw
TJ Dillashaw,125.0,167.64,Orthodox
Demetrious Johnson,125.0,160.02,Orthodox
Ricky Simon,135.0,167.64,Orthodox
Matt Sayles,145.0,170.18,Orthodox
Eddie Alvarez,155.0,175.26,Orthodox
Jordan Mein,170.0,182.88,Orthodox
Kajan Johnson,155.0,180.34,Orthodox
Dustin Ortiz,125.0,165.1,Orthodox
Vitor Miranda,185.0,185.42,Orthodox
Nasrat Haqparast,155.0,177.8,Southpaw
Emil Meek,170.0,180.34,Switch
Khalid Taha,135.0,165.1,Orthodox
Justin Ledet,205.0,193.04,Orthodox
Davey Grant,135.0,172.72,Orthodox
Jeremy Kimball,205.0,182.88,Switch
Damian Stasiak,135.0,165.1,Orthodox
Sage Northcutt,170.0,182.88,Orthodox
Randy Brown,170.0,190.5,Orthodox
Myles Jury,145.0,177.8,Orthodox
Darren Elkins,145.0,177.8,Orthodox
Justin Scoggins,125.0,170.18,Southpaw
Kurt Holobaugh,155.0,180.34,Orthodox
Stipe Miocic,240.0,193.04,Orthodox
Paul Felder,155.0,180.34,Orthodox
Michael Chiesa,170.0,185.42,Southpaw
Gokhan Saki,205.0,182.88,Orthodox
Dan Hooker,155.0,182.88,Switch
Brad Tavares,185.0,185.42,Orthodox
Jay Cucciniello,155.0,170.18,Orthodox
Alessio Di Chirico,185.0,182.88,Orthodox
John Gunther,155.0,175.26,Orthodox
Tyler Diamond,145.0,170.18,Orthodox
Matt Bessette,145.0,177.8,Orthodox
Felipe Arantes,135.0,172.72,Orthodox
Rolando Dy,145.0,172.72,Orthodox
Shinsho Anzai,170.0,170.18,Orthodox
Matt Schnell,135.0,172.72,Orthodox
Jenel Lausa,125.0,165.1,Orthodox
Robert Whittaker,185.0,182.88,Orthodox
CM Punk,170.0,185.42,Orthodox
Rashad Coulter,205.0,180.34,Orthodox
Rashad Evans,205.0,182.88,Orthodox
Clay Guida,155.0,170.18,Orthodox
Mike Santiago,145.0,177.8,Orthodox
Nik Lentz,155.0,172.72,Orthodox
Johnny Eduardo,135.0,170.18,Orthodox
Jarred Brooks,125.0,160.02,Switch
Claudio Silva,170.0,180.34,Southpaw
Eric Spicely,185.0,185.42,Orthodox
Daniel Kelly,185.0,182.88,Southpaw
Bradley Scott,170.0,185.42,Orthodox
Diego Rivas,145.0,172.72,Orthodox
Brandon Moreno,125.0,170.18,Orthodox
Gabriel Benitez,145.0,172.72,Southpaw
Henry Briones,135.0,172.72,Orthodox
Claudio Puelles,155.0,180.34,Southpaw
Vitor Belfort,185.0,182.88,Southpaw
Aleksei Oleinik,240.0,187.96,Orthodox
Alberto Mina,170.0,182.88,Orthodox
Frankie Edgar,145.0,167.64,Orthodox
Justin Willis,264.0,185.42,Southpaw
Siyar Bahadurzada,170.0,180.34,Orthodox
Corey Anderson,205.0,190.5,Orthodox
Dustin Poirier,155.0,175.26,Southpaw
Muslim Salikhov,170.0,180.34,Orthodox
Dhiego Lima,170.0,187.96,Orthodox
Matthew Lopez,135.0,170.18,Southpaw
Luke Sanders,135.0,167.64,Southpaw
Renato Moicano,145.0,180.34,Orthodox
Joe Lauzon,155.0,177.8,Orthodox
Evan Dunham,155.0,177.8,Southpaw
Fabricio Werdum,231.0,193.04,Orthodox
Tom Duquesnoy,135.0,170.18,Orthodox
John Phillips,185.0,180.34,Southpaw
Paul Craig,205.0,190.5,Orthodox
Mark Godbeer,240.0,193.04,Orthodox
Sean O'Malley,135.0,180.34,Switch
CB Dollaway,185.0,187.96,Orthodox
Mike Pyle,170.0,182.88,Orthodox
Bryan Caraway,135.0,172.72,Orthodox
Jordan Johnson,205.0,187.96,Orthodox
Mike Perry,170.0,177.8,Orthodox
Albert Morales,135.0,175.26,Orthodox
Steven Peterson,145.0,177.8,Orthodox
Joshua Burkman,170.0,177.8,Orthodox
Oskar Piechota,185.0,182.88,Southpaw
Yoel Romero,185.0,182.88,Southpaw
Tyson Pedro,205.0,190.5,Orthodox
Damien Brown,155.0,177.8,Orthodox
Rob Wilkinson,185.0,190.5,Orthodox
Alexander Volkanovski,145.0,167.64,Orthodox
Luke Jumeau,170.0,180.34,Orthodox
Lyoto Machida,185.0,185.42,Southpaw
Tim Johnson,265.0,190.5,Southpaw
Alan Patrick,155.0,180.34,Southpaw
Iuri Alcantara,135.0,175.26,Southpaw
Deiveson Figueiredo,125.0,165.1,Orthodox
Jordan Rinaldi,145.0,177.8,Orthodox
Erik Koch,155.0,177.8,Southpaw
Mirsad Bektic,145.0,172.72,Orthodox
Vinc Pichel,155.0,177.8,Orthodox
Niko Price,170.0,182.88,Orthodox
Austin Arnett,145.0,182.88,Orthodox
Thomas Almeida,135.0,170.18,Southpaw
Kyle Bochniak,145.0,170.18,Orthodox
Sabah Homasi,170.0,182.88,Orthodox
Kamaru Usman,170.0,182.88,Switch
Kyung Ho Kang,135.0,175.26,Orthodox
Mads Burnell,145.0,172.72,Orthodox
Marvin Vettori,185.0,182.88,Southpaw
Tim Elliott,135.0,170.18,Southpaw
Santiago Ponzinibbio,170.0,182.88,Orthodox
Julian Marquez,185.0,187.96,Orthodox
Marlon Moraes,135.0,167.64,Orthodox
Carls John De Tomas,125.0,165.1,Southpaw
Frankie Saenz,135.0,167.64,Orthodox
Alejandro Perez,135.0,167.64,Orthodox
Chris Gruetzemacher,155.0,172.72,Orthodox
Antonio Braga Neto,185.0,190.5,Orthodox
David Teymur,155.0,175.26,Southpaw
Joe Soto,135.0,167.64,Orthodox
Michael Bisping,185.0,185.42,Orthodox
Wang Guan,145.0,175.26,Orthodox
Chase Sherman,250.0,193.04,Orthodox
Cyril Asker,247.0,182.88,Orthodox
Ryan Benoit,125.0,165.1,Orthodox
Anthony Hamilton,260.0,195.58,Orthodox
Matt Brown,170.0,182.88,Orthodox
Nate Marquardt,185.0,182.88,Orthodox
Jake Collier,205.0,190.5,Orthodox
Johny Hendricks,185.0,175.26,Southpaw
